Año,Enfermedad,Casos,Delegacion
2003,Sifilis,25420,Puebla
2003,Sifilis,32746,Querétaro
2003,Sifilis,22768,Quintana Roo
2003,Sifilis,21688,San Luis Potosí
2003,Sifilis,36892,Sinaloa
2003,Sifilis,28563,Sonora
2003,Sifilis,7402,Tabasco
2003,Sifilis,43839,Tamaulipas
2003,Sifilis,9055,Tlaxcala
2003,Sifilis,65746,Veracruz
2003,Sifilis,19001,Yucatán
2003,Sifilis,13589,Zacatecas
2004,Sifilis,1713,Aguascalientes
2004,Sifilis,3956,Baja California
2004,Sifilis,2302,Baja California Sur
2004,Sifilis,2283,Campeche
2004,Sifilis,5782,Coahuila
2004,Sifilis,1532,Colima
2004,Sifilis,679,Chiapas
2004,Sifilis,3593,Chihuahua
2004,Sifilis,7259,Distrito Federal
2004,Sifilis,5707,Durango
2004,Sifilis,5347,Guanajuato
2004,Sifilis,1482,Guerrero
2004,Sifilis,1293,Hidalgo
2004,Sifilis,13566,Jalisco
2004,Sifilis,17768,México
2004,Sifilis,3756,Michoacán
2004,Sifilis,1408,Morelos
2004,Sifilis,986,Nayarit
2004,Sifilis,9701,Nuevo León
2004,Sifilis,2036,Oaxaca
2004,Sifilis,8465,Puebla
2004,Sifilis,7177,Querétaro
2004,Sifilis,3237,Quintana Roo
2004,Sifilis,2567,San Luis Potosí
2004,Sifilis,5453,Sinaloa
2004,Sifilis,4758,Sonora
2004,Sifilis,714,Tabasco
2004,Sifilis,9565,Tamaulipas
2004,Sifilis,883,Tlaxcala
2004,Sifilis,11828,Veracruz
2004,Sifilis,6822,Yucatán
2004,Sifilis,2338,Zacatecas
2005,Sifilis,1792,Aguascalientes
2005,Sifilis,6547,Baja California
2005,Sifilis,1997,Baja California Sur
2005,Sifilis,2193,Campeche
2005,Sifilis,5538,Coahuila
2005,Sifilis,605,Colima
2005,Sifilis,203,Chiapas
2005,Sifilis,7614,Chihuahua
2005,Sifilis,5321,Distrito Federal
2005,Sifilis,1399,Durango
2005,Sifilis,8035,Guanajuato
2005,Sifilis,3882,Guerrero
2005,Sifilis,689,Hidalgo
2005,Sifilis,10579,Jalisco
2005,Sifilis,15458,México
2005,Sifilis,12200,Michoacán
2005,Sifilis,357,Morelos
2005,Sifilis,1328,Nayarit
2005,Sifilis,4785,Nuevo León
2005,Sifilis,785,Oaxaca
2005,Sifilis,6529,Puebla
2005,Sifilis,8286,Querétaro
2005,Sifilis,2840,Quintana Roo
2005,Sifilis,2739,San Luis Potosí
2005,Sifilis,2799,Sinaloa
2005,Sifilis,3238,Sonora
2005,Sifilis,963,Tabasco
2005,Sifilis,5602,Tamaulipas
2005,Sifilis,397,Tlaxcala
2005,Sifilis,14501,Veracruz
2005,Sifilis,7325,Yucatán
2005,Sifilis,1313,Zacatecas
2006,Sifilis,2174,Aguascalientes
2006,Sifilis,11232,Baja California
2006,Sifilis,3016,Baja California Sur
2006,Sifilis,4851,Campeche
2006,Sifilis,24975,Coahuila
2006,Sifilis,3292,Colima
2006,Sifilis,3305,Chiapas
2006,Sifilis,22235,Chihuahua
2006,Sifilis,26391,Distrito Federal
2006,Sifilis,2649,Durango
2006,Sifilis,15679,Guanajuato
2006,Sifilis,10249,Guerrero
2006,Sifilis,4972,Hidalgo
2006,Sifilis,25470,Jalisco
2006,Sifilis,34982,México
2006,Sifilis,18074,Michoacán
2006,Sifilis,3193,Morelos
2006,Sifilis,9694,Nayarit
2006,Sifilis,33849,Nuevo León
2006,Sifilis,2793,Oaxaca
2006,Sifilis,8568,Puebla
2006,Sifilis,33568,Querétaro
2006,Sifilis,4270,Quintana Roo
2006,Sifilis,5020,San Luis Potosí
2006,Sifilis,15768,Sinaloa
2006,Sifilis,3613,Sonora
2006,Sifilis,5449,Tabasco
2006,Sifilis,18746,Tamaulipas
2006,Sifilis,3362,Tlaxcala
2006,Sifilis,16451,Veracruz
2006,Sifilis,9550,Yucatán
2006,Sifilis,1542,Zacatecas
2007,Sifilis,105,Aguascalientes
2007,Sifilis,119,Baja California
2007,Sifilis,7,Baja California Sur
2007,Sifilis,2,Campeche
2007,Sifilis,820,Coahuila
2007,Sifilis,600,Colima
2007,Sifilis,57,Chiapas
2007,Sifilis,1296,Chihuahua
2007,Sifilis,308,Distrito Federal
2007,Sifilis,69,Durango
2007,Sifilis,233,Guanajuato
2007,Sifilis,105,Guerrero
2007,Sifilis,26,Hidalgo
2007,Sifilis,2532,Jalisco
2007,Sifilis,1971,México
2007,Sifilis,298,Michoacán
2007,Sifilis,3196,Morelos
2007,Sifilis,1308,Nayarit
2007,Sifilis,2086,Nuevo León
2007,Sifilis,280,Oaxaca
2007,Sifilis,1224,Puebla
2007,Sifilis,1450,Querétaro
2007,Sifilis,912,Quintana Roo
2007,Sifilis,108,San Luis Potosí
2007,Sifilis,192,Sinaloa
2007,Sifilis,291,Sonora
2007,Sifilis,587,Tabasco
2007,Sifilis,634,Tamaulipas
2007,Sifilis,300,Tlaxcala
2007,Sifilis,3618,Veracruz
2007,Sifilis,482,Yucatán
2007,Sifilis,107,Zacatecas
2008,Sifilis,1523,Aguascalientes
2008,Sifilis,252,Baja California
2008,Sifilis,165,Baja California Sur
2008,Sifilis,0,Campeche
2008,Sifilis,4248,Coahuila
2008,Sifilis,3234,Colima
2008,Sifilis,3,Chiapas
2008,Sifilis,1283,Chihuahua
2008,Sifilis,2051,Distrito Federal
2008,Sifilis,527,Durango
2008,Sifilis,2838,Guanajuato
2008,Sifilis,157,Guerrero
2008,Sifilis,230,Hidalgo
2008,Sifilis,6797,Jalisco
2008,Sifilis,4007,México
2008,Sifilis,4196,Michoacán
2008,Sifilis,1216,Morelos
2008,Sifilis,1262,Nayarit
2008,Sifilis,5941,Nuevo León
2008,Sifilis,664,Oaxaca
2008,Sifilis,8919,Puebla
2008,Sifilis,2619,Querétaro
2008,Sifilis,528,Quintana Roo
2008,Sifilis,94,San Luis Potosí
2008,Sifilis,222,Sinaloa
2008,Sifilis,418,Sonora
2008,Sifilis,227,Tabasco
2008,Sifilis,5926,Tamaulipas
2008,Sifilis,501,Tlaxcala
2008,Sifilis,8671,Veracruz
2008,Sifilis,34,Yucatán
2008,Sifilis,1184,Zacatecas
2009,Sifilis,2071,Aguascalientes
2009,Sifilis,765,Baja California
2009,Sifilis,216,Baja California Sur
2009,Sifilis,0,Campeche
2009,Sifilis,3885,Coahuila
2009,Sifilis,4327,Colima
2009,Sifilis,20,Chiapas
2009,Sifilis,544,Chihuahua
2009,Sifilis,2751,Distrito Federal
2009,Sifilis,407,Durango
2009,Sifilis,4784,Guanajuato
2009,Sifilis,303,Guerrero
2009,Sifilis,313,Hidalgo
2009,Sifilis,6437,Jalisco
2009,Sifilis,5181,México
2009,Sifilis,1360,Michoacán
2009,Sifilis,884,Morelos
2009,Sifilis,1510,Nayarit
2009,Sifilis,13005,Nuevo León
2009,Sifilis,525,Oaxaca
2009,Sifilis,9830,Puebla
2009,Sifilis,2000,Querétaro
2009,Sifilis,766,Quintana Roo
2009,Sifilis,29,San Luis Potosí
2009,Sifilis,338,Sinaloa
2009,Sifilis,534,Sonora
2009,Sifilis,348,Tabasco
2009,Sifilis,7099,Tamaulipas
2009,Sifilis,115,Tlaxcala
2009,Sifilis,13191,Veracruz
2009,Sifilis,32,Yucatán
2009,Sifilis,771,Zacatecas
2010,Sifilis,1737,Aguascalientes
2010,Sifilis,1335,Baja California
2010,Sifilis,1431,Baja California Sur
2010,Sifilis,12,Campeche
2010,Sifilis,5115,Coahuila
2010,Sifilis,3848,Colima
2010,Sifilis,11,Chiapas
2010,Sifilis,743,Chihuahua
2010,Sifilis,2962,Distrito Federal
2010,Sifilis,314,Durango
2010,Sifilis,5208,Guanajuato
2010,Sifilis,171,Guerrero
2010,Sifilis,1132,Hidalgo
2010,Sifilis,6648,Jalisco
2010,Sifilis,6738,México
2010,Sifilis,2671,Michoacán
2010,Sifilis,566,Morelos
2010,Sifilis,3206,Nayarit
2010,Sifilis,8989,Nuevo León
2010,Sifilis,1043,Oaxaca
2010,Sifilis,7904,Puebla
2010,Sifilis,609,Querétaro
2010,Sifilis,425,Quintana Roo
2010,Sifilis,42,San Luis Potosí
2010,Sifilis,163,Sinaloa
2010,Sifilis,570,Sonora
2010,Sifilis,520,Tabasco
2010,Sifilis,5605,Tamaulipas
2010,Sifilis,55,Tlaxcala
2010,Sifilis,12093,Veracruz
2010,Sifilis,23,Yucatán
2010,Sifilis,769,Zacatecas
2011,Sifilis,1783,Aguascalientes
2011,Sifilis,1456,Baja California
2011,Sifilis,915,Baja California Sur
2011,Sifilis,184,Campeche
2011,Sifilis,4757,Coahuila
2011,Sifilis,3218,Colima
2011,Sifilis,19,Chiapas
2011,Sifilis,425,Chihuahua
2011,Sifilis,3059,Distrito Federal
2011,Sifilis,371,Durango
2011,Sifilis,2565,Guanajuato
2011,Sifilis,255,Guerrero
2011,Sifilis,1506,Hidalgo
2011,Sifilis,6935,Jalisco
2011,Sifilis,4819,México
2011,Sifilis,2304,Michoacán
2011,Sifilis,41,Morelos
2011,Sifilis,3684,Nayarit
2011,Sifilis,8521,Nuevo León
2011,Sifilis,1599,Oaxaca
2011,Sifilis,7713,Puebla
2011,Sifilis,652,Querétaro
2011,Sifilis,465,Quintana Roo
2011,Sifilis,283,San Luis Potosí
2011,Sifilis,115,Sinaloa
2011,Sifilis,430,Sonora
2011,Sifilis,325,Tabasco
2011,Sifilis,5321,Tamaulipas
2011,Sifilis,94,Tlaxcala
2011,Sifilis,9033,Veracruz
2011,Sifilis,22,Yucatán
2011,Sifilis,2084,Zacatecas
2012,Sifilis,1110,Aguascalientes
2012,Sifilis,1159,Baja California
2012,Sifilis,1596,Baja California Sur
2012,Sifilis,556,Campeche
2012,Sifilis,4799,Coahuila
2012,Sifilis,651,Colima
2012,Sifilis,1,Chiapas
2012,Sifilis,369,Chihuahua
2012,Sifilis,4738,Distrito Federal
2012,Sifilis,38,Durango
2012,Sifilis,1232,Guanajuato
2012,Sifilis,357,Guerrero
2012,Sifilis,1452,Hidalgo
2012,Sifilis,4718,Jalisco
2012,Sifilis,4918,México
2012,Sifilis,861,Michoacán
2012,Sifilis,50,Morelos
2012,Sifilis,4710,Nayarit
2012,Sifilis,12064,Nuevo León
2012,Sifilis,1018,Oaxaca
2012,Sifilis,9424,Puebla
2012,Sifilis,300,Querétaro
2012,Sifilis,8,Quintana Roo
2012,Sifilis,652,San Luis Potosí
2012,Sifilis,197,Sinaloa
2012,Sifilis,363,Sonora
2012,Sifilis,3279,Tabasco
2012,Sifilis,5282,Tamaulipas
2012,Sifilis,92,Tlaxcala
2012,Sifilis,6446,Veracruz
2012,Sifilis,263,Yucatán
2012,Sifilis,52,Zacatecas
2013,Sifilis,1431,Aguascalientes
2013,Sifilis,1213,Baja California
2013,Sifilis,1538,Baja California Sur
2013,Sifilis,964,Campeche
2013,Sifilis,4597,Coahuila
2013,Sifilis,1050,Colima
2013,Sifilis,9,Chiapas
2013,Sifilis,569,Chihuahua
2013,Sifilis,5430,Distrito Federal
2013,Sifilis,28,Durango
2013,Sifilis,1381,Guanajuato
2013,Sifilis,322,Guerrero
2013,Sifilis,834,Hidalgo
2013,Sifilis,4264,Jalisco
2013,Sifilis,5050,México
2013,Sifilis,543,Michoacán
2013,Sifilis,50,Morelos
2013,Sifilis,4971,Nayarit
2013,Sifilis,15103,Nuevo León
2013,Sifilis,877,Oaxaca
2013,Sifilis,8015,Puebla
2013,Sifilis,48,Querétaro
2013,Sifilis,1,Quintana Roo
2013,Sifilis,680,San Luis Potosí
2013,Sifilis,981,Sinaloa
2013,Sifilis,195,Sonora
2013,Sifilis,8063,Tabasco
2013,Sifilis,5248,Tamaulipas
2013,Sifilis,58,Tlaxcala
2013,Sifilis,7309,Veracruz
2013,Sifilis,20,Yucatán
2013,Sifilis,103,Zacatecas
2014,Sifilis,2534,Aguascalientes
2014,Sifilis,1063,Baja California
2014,Sifilis,1182,Baja California Sur
2014,Sifilis,1000,Campeche
2014,Sifilis,3274,Coahuila
2014,Sifilis,1123,Colima
2014,Sifilis,69,Chiapas
2014,Sifilis,1456,Chihuahua
2014,Sifilis,4179,Distrito Federal
2014,Sifilis,165,Durango
2014,Sifilis,905,Guanajuato
2014,Sifilis,384,Guerrero
2014,Sifilis,1767,Hidalgo
2014,Sifilis,4924,Jalisco
2014,Sifilis,3868,México
2014,Sifilis,439,Michoacán
2014,Sifilis,97,Morelos
2014,Sifilis,4377,Nayarit
2014,Sifilis,11507,Nuevo León
2014,Sifilis,1219,Oaxaca
2014,Sifilis,5577,Puebla
2014,Sifilis,36,Querétaro
2014,Sifilis,2,Quintana Roo
2014,Sifilis,1180,San Luis Potosí
2014,Sifilis,617,Sinaloa
2014,Sifilis,184,Sonora
2014,Sifilis,6245,Tabasco
2014,Sifilis,3902,Tamaulipas
2014,Sifilis,332,Tlaxcala
2014,Sifilis,6425,Veracruz
2014,Sifilis,43,Yucatán
2014,Sifilis,103,Zacatecas
2015,Sifilis,2759,Aguascalientes
2015,Sifilis,826,Baja California
2015,Sifilis,732,Baja California Sur
2015,Sifilis,1077,Campeche
2015,Sifilis,3511,Coahuila
2015,Sifilis,1457,Colima
2015,Sifilis,110,Chiapas
2015,Sifilis,479,Chihuahua
2015,Sifilis,3709,Distrito Federal
2015,Sifilis,100,Durango
2015,Sifilis,545,Guanajuato
2015,Sifilis,300,Guerrero
2015,Sifilis,1122,Hidalgo
2015,Sifilis,3291,Jalisco
2015,Sifilis,4212,México
2015,Sifilis,420,Michoacán
2015,Sifilis,31,Morelos
2015,Sifilis,2973,Nayarit
2015,Sifilis,13356,Nuevo León
2015,Sifilis,1155,Oaxaca
2015,Sifilis,6438,Puebla
2015,Sifilis,74,Querétaro
2015,Sifilis,3,Quintana Roo
2015,Sifilis,1478,San Luis Potosí
2015,Sifilis,1255,Sinaloa
2015,Sifilis,2220,Sonora
2015,Sifilis,5270,Tabasco
2015,Sifilis,2468,Tamaulipas
2015,Sifilis,234,Tlaxcala
2015,Sifilis,6174,Veracruz
2015,Sifilis,65,Yucatán
2015,Sifilis,141,Zacatecas
2016,Sifilis,2805,Aguascalientes
2016,Sifilis,969,Baja California
2016,Sifilis,890,Baja California Sur
2016,Sifilis,1944,Campeche
2016,Sifilis,3601,Coahuila
2016,Sifilis,1305,Colima
2016,Sifilis,56,Chiapas
2016,Sifilis,231,Chihuahua
2016,Sifilis,2621,Distrito Federal
2016,Sifilis,309,Durango
2016,Sifilis,2723,Guanajuato
2016,Sifilis,45,Guerrero
2016,Sifilis,685,Hidalgo
2016,Sifilis,2549,Jalisco
2016,Sifilis,3042,México
2016,Sifilis,341,Michoacán
2016,Sifilis,14,Morelos
2016,Sifilis,1994,Nayarit
2016,Sifilis,11197,Nuevo León
2016,Sifilis,872,Oaxaca
2016,Sifilis,5166,Puebla
2016,Sifilis,60,Querétaro
2016,Sifilis,7,Quintana Roo
2016,Sifilis,1000,San Luis Potosí
2016,Sifilis,1337,Sinaloa
2016,Sifilis,2617,Sonora
2016,Sifilis,4681,Tabasco
2016,Sifilis,2199,Tamaulipas
2016,Sifilis,144,Tlaxcala
2016,Sifilis,3969,Veracruz
2016,Sifilis,141,Yucatán
2016,Sifilis,76,Zacatecas
2017,Sifilis,1133,Aguascalientes
2017,Sifilis,844,Baja California
2017,Sifilis,514,Baja California Sur
2017,Sifilis,1035,Campeche
2017,Sifilis,3424,Coahuila
2017,Sifilis,72,Colima
2017,Sifilis,411,Chiapas
2017,Sifilis,97,Chihuahua
2017,Sifilis,2169,Distrito Federal
2017,Sifilis,142,Durango
2017,Sifilis,5228,Guanajuato
2017,Sifilis,13,Guerrero
2017,Sifilis,240,Hidalgo
2017,Sifilis,2103,Jalisco
2017,Sifilis,2041,México
2017,Sifilis,348,Michoacán
2017,Sifilis,3,Morelos
2017,Sifilis,1001,Nayarit
2017,Sifilis,12074,Nuevo León
2017,Sifilis,467,Oaxaca
2017,Sifilis,4056,Puebla
2017,Sifilis,86,Querétaro
2017,Sifilis,4,Quintana Roo
2017,Sifilis,1054,San Luis Potosí
2017,Sifilis,275,Sinaloa
2017,Sifilis,2913,Sonora
2017,Sifilis,2704,Tabasco
2017,Sifilis,1887,Tamaulipas
2017,Sifilis,143,Tlaxcala
2017,Sifilis,2690,Veracruz
2017,Sifilis,152,Yucatán
2017,Sifilis,95,Zacatecas
2018,Sifilis,628,Aguascalientes
2018,Sifilis,1127,Baja California
2018,Sifilis,277,Baja California Sur
2018,Sifilis,343,Campeche
2018,Sifilis,2717,Coahuila
2018,Sifilis,425,Colima
2018,Sifilis,196,Chiapas
2018,Sifilis,112,Chihuahua
2018,Sifilis,1154,Distrito Federal
2018,Sifilis,96,Durango
2018,Sifilis,3731,Guanajuato
2018,Sifilis,12,Guerrero
2018,Sifilis,231,Hidalgo
2018,Sifilis,1921,Jalisco
2018,Sifilis,1667,México
2018,Sifilis,290,Michoacán
2018,Sifilis,6,Morelos
2018,Sifilis,423,Nayarit
2018,Sifilis,9845,Nuevo León
2018,Sifilis,143,Oaxaca
2018,Sifilis,3459,Puebla
2018,Sifilis,39,Querétaro
2018,Sifilis,8,Quintana Roo
2018,Sifilis,1231,San Luis Potosí
2018,Sifilis,42,Sinaloa
2018,Sifilis,3132,Sonora
2018,Sifilis,1789,Tabasco
2018,Sifilis,1480,Tamaulipas
2018,Sifilis,90,Tlaxcala
2018,Sifilis,2872,Veracruz
2018,Sifilis,84,Yucatán
2018,Sifilis,37,Zacatecas
2019,Sifilis,814,Aguascalientes
2019,Sifilis,662,Baja California
2019,Sifilis,94,Baja California Sur
2019,Sifilis,398,Campeche
2019,Sifilis,2411,Coahuila
2019,Sifilis,455,Colima
2019,Sifilis,13,Chiapas
2019,Sifilis,86,Chihuahua
2019,Sifilis,745,Distrito Federal
2019,Sifilis,149,Durango
2019,Sifilis,1354,Guanajuato
2019,Sifilis,9,Guerrero
2019,Sifilis,182,Hidalgo
2019,Sifilis,1725,Jalisco
2019,Sifilis,1319,México
2019,Sifilis,261,Michoacán
2019,Sifilis,2,Morelos
2019,Sifilis,419,Nayarit
2019,Sifilis,5896,Nuevo León
2019,Sifilis,60,Oaxaca
2019,Sifilis,4836,Puebla
2019,Sifilis,9,Querétaro
2019,Sifilis,11,Quintana Roo
2019,Sifilis,110,San Luis Potosí
2019,Sifilis,184,Sinaloa
2019,Sifilis,2126,Sonora
2019,Sifilis,1420,Tabasco
2019,Sifilis,1453,Tamaulipas
2019,Sifilis,41,Tlaxcala
2019,Sifilis,2473,Veracruz
2019,Sifilis,27,Yucatán
2019,Sifilis,12,Zacatecas
2020,Sifilis,443,Aguascalientes
2020,Sifilis,290,Baja California
2020,Sifilis,111,Baja California Sur
2020,Sifilis,543,Campeche
2020,Sifilis,438,Coahuila
2020,Sifilis,134,Colima
2020,Sifilis,8,Chiapas
2020,Sifilis,368,Chihuahua
2020,Sifilis,282,Distrito Federal
2020,Sifilis,256,Durango
2020,Sifilis,635,Guanajuato
2020,Sifilis,6,Guerrero
2020,Sifilis,177,Hidalgo
2020,Sifilis,1591,Jalisco
2020,Sifilis,970,México
2020,Sifilis,166,Michoacán
2020,Sifilis,118,Morelos
2020,Sifilis,354,Nayarit
2020,Sifilis,3770,Nuevo León
2020,Sifilis,110,Oaxaca
2020,Sifilis,4452,Puebla
2020,Sifilis,1,Querétaro
2020,Sifilis,49,Quintana Roo
2020,Sifilis,71,San Luis Potosí
2020,Sifilis,38,Sinaloa
2020,Sifilis,1331,Sonora
2020,Sifilis,588,Tabasco
2020,Sifilis,600,Tamaulipas
2020,Sifilis,122,Tlaxcala
2020,Sifilis,1144,Veracruz
2020,Sifilis,84,Yucatán
2020,Sifilis,3,Zacatecas
2021,Sifilis,1826,Aguascalientes
2021,Sifilis,5164,Baja California
2021,Sifilis,1145,Baja California Sur
2021,Sifilis,1514,Campeche
2021,Sifilis,6853,Coahuila
2021,Sifilis,537,Colima
2021,Sifilis,2577,Chiapas
2021,Sifilis,2718,Chihuahua
2021,Sifilis,2519,Distrito Federal
2021,Sifilis,2006,Durango
2021,Sifilis,5839,Guanajuato
2021,Sifilis,362,Guerrero
2021,Sifilis,3017,Hidalgo
2021,Sifilis,8442,Jalisco
2021,Sifilis,8220,México
2021,Sifilis,2165,Michoacán
2021,Sifilis,2889,Morelos
2021,Sifilis,1663,Nayarit
2021,Sifilis,6996,Nuevo León
2021,Sifilis,2952,Oaxaca
2021,Sifilis,4378,Puebla
2021,Sifilis,2633,Querétaro
2021,Sifilis,6502,Quintana Roo
2021,Sifilis,3512,San Luis Potosí
2021,Sifilis,2863,Sinaloa
2021,Sifilis,4050,Sonora
2021,Sifilis,1036,Tabasco
2021,Sifilis,8910,Tamaulipas
2021,Sifilis,1407,Tlaxcala
2021,Sifilis,5959,Veracruz
2021,Sifilis,3148,Yucatán
2021,Sifilis,417,Zacatecas
2022,Sifilis,2230,Aguascalientes
2022,Sifilis,7044,Baja California
2022,Sifilis,3393,Baja California Sur
2022,Sifilis,1610,Campeche
2022,Sifilis,8824,Coahuila
2022,Sifilis,754,Colima
2022,Sifilis,3473,Chiapas
2022,Sifilis,3425,Chihuahua
2022,Sifilis,12030,Distrito Federal
2022,Sifilis,332,Durango
2022,Sifilis,3332,Guanajuato
2022,Sifilis,10931,Guerrero
2022,Sifilis,14007,Hidalgo
2022,Sifilis,3302,Jalisco
2022,Sifilis,4960,México
2022,Sifilis,2347,Michoacán
2022,Sifilis,10231,Morelos
2022,Sifilis,3814,Nayarit
2022,Sifilis,5920,Nuevo León
2022,Sifilis,4638,Oaxaca
2022,Sifilis,6350,Puebla
2022,Sifilis,5710,Querétaro
2022,Sifilis,4596,Quintana Roo
2022,Sifilis,4957,San Luis Potosí
2022,Sifilis,1631,Sinaloa
2022,Sifilis,8534,Sonora
2022,Sifilis,1583,Tabasco
2022,Sifilis,6399,Tamaulipas
2022,Sifilis,1198,Tlaxcala
2022,Sifilis,3575,Veracruz
2022,Sifilis,113,Yucatán
2022,Sifilis,3160,Zacatecas
2000,Cancermamario,26009,Aguascalientes
2000,Cancermamario,62837,Baja California
2000,Cancermamario,13967,Baja California Sur
2000,Cancermamario,17871,Campeche
2000,Cancermamario,53247,Coahuila
2000,Cancermamario,24920,Colima
2000,Cancermamario,30634,Chiapas
2000,Cancermamario,87122,Chihuahua
2000,Cancermamario,289812,Distrito Federal
2000,Cancermamario,32888,Durango
2000,Cancermamario,111654,Guanajuato
2000,Cancermamario,33401,Guerrero
2000,Cancermamario,31665,Hidalgo
2000,Cancermamario,151239,Jalisco
2000,Cancermamario,238434,México
2000,Cancermamario,63379,Michoacán
2000,Cancermamario,42429,Morelos
2000,Cancermamario,21301,Nayarit
2000,Cancermamario,149235,Nuevo León
2000,Cancermamario,39203,Oaxaca
2000,Cancermamario,82622,Puebla
2000,Cancermamario,27021,Querétaro
2000,Cancermamario,27419,Quintana Roo
2000,Cancermamario,40457,San Luis Potosí
2000,Cancermamario,86933,Sinaloa
2000,Cancermamario,53320,Sonora
2000,Cancermamario,20408,Tabasco
2000,Cancermamario,91848,Tamaulipas
2000,Cancermamario,21906,Tlaxcala
2000,Cancermamario,171894,Veracruz
2000,Cancermamario,38885,Yucatán
2000,Cancermamario,18015,Zacatecas
2001,Cancermamario,29255,Aguascalientes
2001,Cancermamario,67355,Baja California
2001,Cancermamario,14736,Baja California Sur
2001,Cancermamario,18326,Campeche
2001,Cancermamario,61285,Coahuila
2001,Cancermamario,25590,Colima
2001,Cancermamario,38264,Chiapas
